club,date,country,League,Tier
Real Rimini FC,2011-02-15,Italy,Serie D,Tier 4
O. Marzocca,1986-06-30,Italy,Serie C,Tier 3
Gragnano,2017-06-30,Italy,Serie C,Tier 3
Cosenza,1981-06-30,Italy,Serie C1,Tier 2
Campobasso,1979-06-30,Italy,Serie D,Tier 4
Monza,1975-06-30,Italy,Serie A,Tier 1
Taranto,1928-06-30,Italy,Italian Football Championship,Tier 2
Prato,30/6/1924,Italy,Serie C,Tier 3
Parma U17,2021-06-30,Italy,Serie A Primavera,Tier 3
Pavia,2011-12-06,Argentina,Primera División,Tier 3
Teramo,2020-02-16,Italy,Serie C,Tier 4
Italy U16,2014-06-30,Italy,UEFA Youth League,Tier 1
US Palermo,2016-02-15,Italy,Serie B,Tier 2
Treviso,2013-06-17,Italy,Serie C,Tier 4
Sirens FC,2021-04-12,Malta,Maltese Premier League,Tier 2
US Palermo,2011-06-30,Italy,Serie B,Tier 2
Viareggio,1999-06-30,Italy,Serie C,Tier 2
Siracusa,2010-06-30,Italy,Serie C2,Tier 3
US Palermo,2001-04-30,Italy,Serie B,Tier 2
Andria,1996-06-01,Italy,Serie C2,Tier 4
US Palermo,1997-04-21,Italy,Serie C,Tier 3
Avezzano,1998-06-30,Italy,Serie C2,Tier 4
Ascoli,1994-12-12,Italy,Serie C,Tier 3
Reggiana,1976-04-05,Italy,Serie C,Tier 3
Taranto,1972-12-24,Italy,Serie C,Tier 3
Palermo,1972-06-30,Italy,Serie A,Tier 1
Salernitana,2002-12-27,Italy,Serie B,Tier 3
Gela,2018-06-30,Italy,Serie D,Tier 4
Vigor Trani,2012-09-17,Italy,Serie C2,Tier 4
Bisceglie,2022-03-02,Italy,Serie D,Tier 4
Olbia U19,2023-06-30,Italy,Serie C1,Tier 2
Potenza,2020-08-13,Italy,Serie C,Tier 3
Correggese,2018-06-25,Italy,Serie C,Tier 3
Correggese,2017-09-17,Italy,Serie C,Tier 3
Acireale,2013-03-06,Italy,Serie C,Tier 3
Ascoli,2020-11-29,Italy,Serie C,Tier 3
Rieti,2012-11-22,Italy,LegA Serie D,Tier 4
Messina,2012-06-30,Italy,Serie B,Tier 3
Bastia,2014-06-30,France,Ligue 2,Tier 2
UC Sampdoria Yo,2013-06-30,Italy,Serie A,Tier 1
Gualdo,2009-06-30,Italy,Serie D,Tier 4
Padova,2000-06-30,Italy,Serie C,Tier 3
Viterbese,1999-06-30,Italy,Serie C1,Tier 3
Messina,1972-06-30,Italy,Serie C,Tier 3
Pro Vercelli,1986-06-30,Italy,Serie C,Tier 2
FC Lugano,1979-06-30,Switzerland,Nationalliga A,Tier 2
Treviso,1971-06-30,Italy,Serie C1,Tier 3
Messina U19,1989-06-30,Italy,Serie C1,Tier 3
Messina,1957-05-05,Italy,Serie A,Tier 1
Messina,1957-03-31,Italy,Serie C,Tier 3
Salernitana,1952-06-30,Italy,Serie B,Tier 3
Alessandria,2010-06-30,Italy,Serie C1,Tier 3
AS Livorno,2020-08-01,Italy,Italian Serie B,Tier 2
FC Sion,2017-10-22,Switzerland,Challenge League,Tier 2
Carpi,2021-02-11,Italy,Serie C,Tier 4
Avellino,2018-06-11,Italy,Serie C,Tier 3
AS Livorno,2017-06-30,Italy,Serie B,Tier 2
Rimini,2002-06-30,Italy,Serie C1,Tier 3
Sorrento,2012-06-30,Italy,Serie C,Tier 3
Savona,2010-11-02,Italy,Serie C,Tier 3
Rimini,1987-06-30,Italy,Serie C1,Tier 3
Fano,1986-06-30,Italy,Serie C,Tier 3
Massese,2014-06-05,Italy,Serie C,Tier 3
Carrarese,1999-06-30,Italy,Serie C1,Tier 3
Centese,1993-06-30,Italy,Serie A,Tier 1
Livorno,1949-06-30,Italy,Serie A,Tier 1
Ajax,1915-06-30,Netherlands,Eredivisie,Tier 1
Alessandria U19,2023-07-10,Italy,Serie C,Tier 2
KF Teuta,2016-09-27,Albania,Kategoria Superiore,Tier 3
CD Santa Rita,2020-10-06,Spain,Segunda División B,Tier 2
Rimini,2019-07-19,Italy,Serie C,Tier 3
San Marino,2012-10-02,San Marino,UEFA Champions League Qualifying,Tier 3
Vastese,2020-12-26,Italy,Serie C,Tier 3
Ascoli,2007-10-24,Italy,Serie C1,Tier 3
Nola,1996-06-30,USA,USL First Division,Tier 2
AS Nola,1990-06-30,Spain,La Liga,Tier 1
Andria,1987-06-30,Italy,Serie C,Tier 2
Ternana,1970-01-12,Italy,Serie B,Tier 2
Mantova,2013-09-23,Italy,Serie C,Tier 4
Montebelluna,2021-02-22,Italy,Serie C,Tier 4
Treviso,2015-10-08,Italy,Serie C,Tier 3
Lumezzane,2015-12-08,Italy,Serie C,Tier 3
Lentigione,2013-01-16,Italy,Serie C2,Tier 4
Lumezzane,2007-06-27,Italy,Serie C1,Tier 3
Pro Sesto,2005-11-07,Italy,Serie D,Tier 4
Imperia,2000-06-30,Italy,Serie A,Tier 1
Voghera,1986-06-30,Italy,Serie D,Tier 4
Atalanta,1977-06-30,Italy,Serie A,Tier 1
Catania,2023-06-06,Italy,Serie B,Tier 2
Cassino,2012-06-30,Italy,Serie C1,Tier 3
Modena,2013-03-20,Italy,Serie C,Tier 2
Lanciano,2005-06-08,Italy,Serie C,Tier 3
Triestina,2000-06-30,Italy,Serie C1,Tier 3
Juventus Stabia,1994-06-30,Italy,Serie C1,Tier 3
Latina,1990-06-30,Italy,Serie A,Tier 1
Rimini,1997-06-30,Italy,Serie C1,Tier 3
Ghivizzano,2021-02-04,Italy,Serie D,Tier 4
Carrarese,2009-06-30,Italy,Serie C1,Tier 3
Catanzaro,1997-06-30,Italy,Serie C1,Tier 3
Genoa,1967-01-22,Italy,Serie A,Tier 1
Pro Sesto,2009-06-14,Italy,Serie D,Tier 4
SPAL,2004-06-30,Italy,Serie B,Tier 2
SPAL,1994-12-31,Italy,Serie B,Tier 2
UC Sampdoria YO,2012-06-30,Italy,Serie A,Tier 1
Novara,2005-01-11,Italy,Serie B,Tier 2
Biellese,2005-06-30,Italy,Serie D,Tier 4
Pescara,2022-06-22,Italy,Serie C,Tier 3
Pescara U19,2018-03-06,Italy,Serie C,Tier 4
San Nicolò,2017-06-23,Italy,Serie C,Tier 3
Sambenedettese,2005-10-17,Italy,Serie C1,Tier 3
Viterbo,2005-04-21,Italy,Serie C2,Tier 3
Castrovillari,2014-06-30,Italy,Serie D,Tier 5
FC Crotone,2003-03-10,Italy,Serie B,Tier 2
Pescara,1950-06-30,Italy,Serie C,Tier 3
Pescara,1949-06-30,Italy,Serie B,Tier 2
Lucchese,2007-01-29,Italy,Serie C1,Tier 3
Axys Zola,2015-06-30,Ukraine,Ukrainian Premier League,Tier 1
Rende,2005-06-30,Italy,Serie C2,Tier 3
Modena,2021-06-30,Italy,Italian Serie C,Tier 4
Sassuolo,1997-06-30,Italy,Serie A,Tier 1
Correggese,2017-02-20,Italy,Serie C,Tier 3
Savona,2014-08-25,Italy,Serie C,Tier 3
Argentina,2014-06-30,Argentina,Primera División Argentina,Tier 1
Viterbese,2020-08-03,Italy,Serie C,Tier 3
Giorgione,2017-06-30,Italy,Serie C,Tier 3
Arcetana,2002-06-30,Spain,La Liga,Tier 1
Carpi,1993-06-30,Italy,Serie C1,Tier 4
Carpi,1934-06-30,Italy,Serie C,Tier 3
Hibernians FC,2022-07-08,Malta,Maltese Premier League,Tier 1
Sora,1995-06-30,Italy,Italian League,Tier 2
Bisceglie,1988-06-30,Italy,Serie D,Tier 4
Folgore,1995-06-30,Italy,Serie C2,Tier 3
Albese,1977-06-30,Italy,Serie D,Tier 4
Casertana,1977-06-30,Italy,Serie B,Tier 2
Putignano,1975-06-30,Italy,Serie C2,Tier 3
Martina,1971-06-30,Netherlands,Eredivisie,Tier 2
Marsala 1912,1977-06-30,Italy,Serie A,Tier 1
SPAL,2023-02-14,Italy,Serie B,Tier 2
SPAL,2007-06-16,Italy,Serie A,Tier 2
Lecco,2007-08-25,Italy,Serie C1,Tier 3
SPAL,1968-10-20,Italy,Serie A,Tier 1
Taranto,1978-09-24,Italy,Serie C,Tier 4
Teramo,2017-06-30,Italy,Serie C,Tier 3
Savoia,2015-01-07,Italy,Serie A,Tier 1
Taranto,2016-10-10,Italy,Serie C,Tier 3
Andria,2004-06-30,Italy,Serie C1,Tier 2
Parma U18,2021-06-30,Italy,Serie D,Tier 4
Marcianise,2006-11-13,Italy,Serie C2,Tier 3
Agropoli,2013-06-30,Italy,Serie C,Tier 2
Taranto,2008-12-08,Italy,Serie C1,Tier 3
Brindisi,2003-01-09,Italy,Serie C2,Tier 4
Castel di Sangro,1993-06-30,Italy,Serie C1,Tier 2
ASG Nocerina,1985-06-30,Italy,Serie D,Tier 4
Pro Patria,2006-12-12,Italy,Serie C2,Tier 4
Spezia,1997-06-30,Italy,Serie B,Tier 3
Prato,1984-06-30,Italy,Serie C,Tier 3
Genoa,2002-06-30,Italy,Serie A,Tier 1
Pontedecimo,1990-06-30,Italy,Serie C1,Tier 3
Reggiana,2003-11-17,Italy,Serie C1,Tier 3
Brescia U19,1996-06-30,Italy,Serie C1,Tier 2
Pontedera,1988-06-30,Italy,Serie C1,Tier 2
Spezia,1949-06-30,Italy,Serie A,Tier 1
AS Pescina,2009-08-31,Italy,Serie D,Tier 4
Taranto,1984-06-30,Italy,Italian Serie C1,Tier 2
Sorrento,1980-06-30,Italy,Serie C,Tier 3
APOEL Nicosia,1957-06-30,Cyprus,Cypriot First Division,Tier 2
Salernitana,1955-12-04,Italy,Serie B,Tier 2
Chieti,1962-06-30,Italy,Serie C,Tier 3
Salernitana,1922-06-30,Italy,Serie B,Tier 3
Monza,20/4/2024,Italy,Serie B,Tier 2
Monza U19,2022-09-12,Italy,Serie C,Tier 3
Tuttocuoio,2017-06-30,Italy,Serie C,Tier 3
US Caravaggese,2008-06-30,Italy,Serie C2,Tier 3
Gallarate,1940-07-01,Italy,Italian Serie C,Tier 3
Manzanese,2020-06-30,Italy,Serie C,Tier 3
Varese,2003-06-30,Italy,Serie B,Tier 2
Lumezzane,1994-06-30,Italy,Serie C2,Tier 3
Ternana,2011-06-30,Italy,Serie C1,Tier 3
Rosetana,2005-06-30,Italy,Serie C1,Tier 3
Avezzano,2019-07-05,Italy,Serie C,Tier 4
Ciabbino,2018-03-15,Italy,Serie C,Tier 3
Savoia,1996-06-30,Italy,Serie A,Tier 1
Gimnasia,1952-06-30,Argentina,Argentine Primera División,Tier 1
Ravenna,2006-06-30,Italy,Serie C,Tier 3
Fermana,20/6/2024,Italy,Serie C,Tier 3
Pordenone,2021-06-18,Italy,Serie C,Tier 3
Castelnuovo,2022-06-30,Italy,Serie C,Tier 3
Fermana,2014-11-18,Italy,Serie D,Tier 4
Rieti,2020-02-11,Italy,Serie C,Tier 3
Salernitana,2018-12-19,Italy,Serie B,Tier 2
Pistoiese,2020-11-24,Italy,Serie C,Tier 3
Sampdoria,2008-06-30,Italy,Serie A,Tier 1
Pistoiese,2011-10-31,Italy,Serie C2,Tier 4
Varese,2015-06-30,Italy,Serie C,Tier 3
Lecce U19,2006-06-30,Italy,Serie C1,Tier 2
Pierantonio,2012-06-30,Italy,Serie A,Tier 1
Pavia,1989-06-30,Italy,Serie C,Tier 3
Pistoiese,1986-06-30,Italy,Serie C1,Tier 3
Viadana,1994-06-30,Italy,Serie C1,Tier 3
Ebolitana,2018-06-30,Italy,Serie C,Tier 4
Padova,2015-11-29,Italy,Serie C,Tier 4
Battipagliese,2015-06-30,Italy,Serie D,Tier 4
Sarno,2012-06-30,Italy,Lega Pro Seconda Divisione,Tier 3
Portici,20/4/2024,Italy,Italian Serie C,Tier 3
Frattese,2015-06-30,Italy,Serie D,Tier 4
Campobasso,2017-12-12,Italy,Serie C,Tier 3
Savoia,2015-07-24,Italy,Serie C,Tier 3
Savoia,2014-10-27,Italy,Serie C,Tier 3
Pomigliano,2015-11-11,Italy,Serie C,Tier 3
Terracina,2014-06-30,Italy,Serie D,Tier 3
Savoia,1981-06-30,Italy,Serie A,Tier 1
Savoia,1980-06-30,Italy,Italian Serie A,Tier 1
Alessandria,1977-06-30,Italy,Serie C1,Tier 3
Sant'Angelo,1984-06-30,Italy,Italian Serie C,Tier 3
Nola,2023-06-21,Italy,Serie C,Tier 4
Agropoli,2019-10-13,Italy,Serie D,Tier 4
Sora,2011-12-01,Italy,Serie C,Tier 4
V. Francavilla,2022-05-16,Italy,Serie D,Tier 4
Bitonto,2020-09-15,Italy,Serie D,Tier 4
Olbia,2009-10-30,Italy,Serie C1,Tier 3
Avellino,2008-10-07,Italy,Serie C1,Tier 3
Foggia,2001-06-30,Italy,Serie B,Tier 2
Avellino,2019-12-27,Italy,Serie C,Tier 3
Avellano,1997-06-30,Italy,Serie B,Tier 2
Brindisi,1990-06-30,Italy,Serie C2,Tier 4
Celanese,2012-06-30,Italy,Serie A,Tier 1
Reggiana,2011-12-22,Italy,Serie C,Tier 3
Arezzo,2022-01-30,Italy,Lega Pro,Tier 3
Modena U17,2016-06-30,Italy,Serie C,Tier 4
Poggibonsi,2013-06-30,Italy,Serie D,Tier 4
Montevarchi,1988-06-30,Italy,Serie C1,Tier 3
Catanzaro,2017-10-08,Italy,Serie C,Tier 3
Catanzaro,2014-11-17,Italy,Serie B,Tier 2
Catanzaro,2010-06-30,Italy,Serie B,Tier 2
Catanzaro,2009-07-10,Italy,Serie B,Tier 2
Vigor Lamezia,2007-06-30,Italy,Serie D,Tier 4
Gela,2001-06-30,Italy,Serie C2,Tier 3
Latina,2006-02-13,Italy,Serie A,Tier 2
Lazio U19,1999-06-30,Italy,Serie A Under 19,Tier 2
Matera,1992-06-30,Italy,Serie C1,Tier 3
Sambenedettese,1963-03-10,Italy,Italian Serie C,Tier 3
Dolomiti,2022-09-30,Italy,Serie C,Tier 3
Martina,1987-06-30,Netherlands,Eredivisie,Tier 1
Pergocrema,1983-06-30,Italy,Serie C2,Tier 4
Bologna,2022-01-03,Italy,Serie A,Tier 1
Poggese Calcio,2001-03-05,Italy,Serie B,Tier 2
Rimini,2021-01-28,Italy,Serie C,Tier 4
Rimini,2017-05-20,Italy,Serie C,Tier 3
Rimini,2017-12-05,Italy,Serie D,Tier 4
Rimini U19,2009-06-30,Italy,Serie C,Tier 3
San Marino,2019-02-27,San Marino,UEFA Nations League Division D,Tier 4
Pisa,2023-06-02,Italy,Serie C,Tier 4
Bassano,2017-02-28,Italy,Serie C,Tier 4
San Giusto,1990-06-30,Italy,Serie C2,Tier 4
Foligno,2011-11-14,Italy,Serie B,Tier 2
Venturina,1992-06-30,Italy,Serie C1,Tier 3
B. a Buggiano,2011-12-20,Italy,Serie C2,Tier 4
Seravezza Pozzi,20/04/2024,Italy,Serie C2,Tier 3
Pisa U17,2014-06-30,Italy,Serie C,Tier 3
Cremapergo,1998-06-30,Italy,Serie A,Tier 1
Cremapergo,1995-06-30,Italy,Serie A,Tier 1
Luparense,2020-06-30,Italy,Serie C,Tier 3
Padova Youth,2020-06-30,Italy,Serie C,Tier 3
AC Montichiari,2012-03-19,Italy,Serie D,Tier 4
Sambenedettese,1978-06-30,Italy,Italian Serie C2,Tier 3
Audace San Michele,1979-06-30,Italy,Serie C,Tier 3
Belluno,1975-06-30,Italy,Serie C,Tier 2
Varese,1966-06-30,Italy,Serie C,Tier 2
Casarano,2021-12-13,Italy,Serie C,Tier 3
Alghero,2008-06-30,Italy,Serie D,Tier 4
Gallipoli,2016-06-30,Turkey,Turkish Football League,Tier 2
Gallipoli,2008-03-01,Turkey,Turkish First Football League,Tier 2
T. Gela,1989-06-30,Italy,Serie C1,Tier 3
Viterbese,1998-11-01,Italy,Serie C2,Tier 3
Varese,2017-03-14,Italy,Serie C,Tier 3
AC Siena,2012-06-06,Italy,Serie B,Tier 3
Verona U19,2013-01-23,Italy,Serie C1,Tier 2
Vis Pesaro,2004-12-31,Italy,Serie C1,Tier 2
Pro Vercelli,1995-06-30,Italy,Serie C1,Tier 3
Sestese,2008-06-30,Italy,Serie C2,Tier 3
Varese,1980-06-30,Italy,Serie A,Tier 1
Abano,2015-11-28,Italy,Serie C,Tier 3
Portogruaro,2021-06-30,Italy,Serie C,Tier 4
Sandonà,2019-06-20,Italy,Serie C,Tier 3
Empoli FC Youth,2004-06-30,Italy,Serie C1,Tier 2
Brindisi,2015-06-30,Italy,Serie C,Tier 3
Igea Virtus,2002-06-30,Italy,Serie C1,Tier 3
Battipagliese,2020-01-07,Italy,Serie C,Tier 3
Nardò,2011-06-30,Italy,Serie D,Tier 4
ASG Nocerina,2014-08-31,Italy,Serie D,Tier 4
Ternana Youth,2013-06-30,Italy,Serie C,Tier 4
Arrone Calcio,2008-06-30,Italy,Serie C2,Tier 4
AC Carpenedolo,2007-01-17,Italy,Serie D,Tier 4
Pro Vercelli,2007-12-04,Italy,Serie C1,Tier 3
Bangor City,2020-06-05,Wales,Cymru Alliance,Tier 4
Jesina,2016-11-01,Italy,Serie C,Tier 3
Unipomezia,2023-06-30,Slovenia,PrvaLiga,Tier 2
Latina Calcio,2022-06-30,Italy,Serie C,Tier 3
Racing Aprilia,2019-02-27,Italy,Serie C,Tier 3
Flaminia,2021-10-12,Italy,Serie C,Tier 3
Viterbese,2008-06-30,Italy,Serie C2,Tier 3
Marsala,1996-06-30,Italy,Serie C2,Tier 3
Latina,1989-06-30,Italy,Serie A,Tier 2
Trapani,20/6/2024,Italy,Serie C,Tier 3
Perugia U19,2016-06-30,Italy,Serie D,Tier 4
Trapani,1978-06-30,Italy,Serie C1,Tier 3
Sanremo,1982-06-30,Italy,Serie C,Tier 3
Fidelis Andria,2023-06-30,Italy,Serie C,Tier 4
Giugliano,2005-06-30,Italy,Serie C2,Tier 3
Venezia U19,2018-06-21,Italy,Serie C - Girone B,Tier 4
FC Mendrisio,2004-06-30,Switzerland,Swiss Super League,Tier 1
Giorgione,1997-06-30,Italy,Serie C2,Tier 3
Reggiana,1928-06-30,Italy,Serie B,Tier 2
Reggiana,1930-06-19,Italy,Serie B,Tier 2
Accad. Pavese,2015-06-30,Italy,Serie D,Tier 4
Legnano,2020-06-11,Italy,Serie C,Tier 3
Savona,1994-06-30,Italy,Serie C1,Tier 2
Südtirol,2023-06-08,Italy,Lega Pro,Tier 2
FK Partizani,2020-07-13,Albania,Kategoria Superiore,Tier 2
FK Partizani,2016-10-10,Albania,Kategoria Superiore,Tier 2
AC Dondelange (also known as ACD Torc'hona),2007-06-30,Luxembourg,Division of Honour,Tier 4
Prato,2021-06-30,Italy,Serie C,Tier 3
Pro Patria,2013-06-30,Italy,Serie D,Tier 4
Lecco,2015-05-30,Italy,Serie C,Tier 3
Renate,2012-05-10,Germany,Bundesliga,Tier 1
Lecco,2010-05-03,Italy,Serie C1,Tier 3
Renate,2009-06-25,Austria,2. Bundesliga,Tier 2
Pistoiese G.,1982-06-30,Italy,Serie C1,Tier 3
Galatasaray,2015-11-26,Turkey,Super Lig,Tier 1
Galatasaray,2016-07-19,Turkey,Turkish Süper Lig,Tier 1
Galatasaray,2014-11-25,Turkey,Turkish Super League,Tier 1
Galatasaray,1995-03-28,Turkey,Süper Lig,Tier 1
Denizlispor,1986-06-30,Turkey,Süper Lig,Tier 1
Galatasaray,1981-03-25,Turkey,Turkish First Football League,Tier 2
Trabzonspor,1981-06-30,Turkey,Süper Lig,Tier 1
Vefaspor,1970-06-09,Turkey,Turkish First Football League,Tier 2
Elazigspor,1973-12-30,Turkey,Turkish First Football League,Tier 2
Beyogluspor,1965-06-30,Turkey,First Football League,Tier 2
Göztepe,1964-02-06,Turkey,Turkish First Football League,Tier 1
Altay SK,1969-06-05,Turkey,Turkish First Football League,Tier 1
Vefaspor,1953-11-26,Turkey,Turkish Football Championship,Tier 1
Konyaspor,1957-06-30,Turkey,Süper Lig,Tier 2
Besiktas,2019-05-31,Turkey,Super Lig,Tier 2
Galatasaray,2004-03-06,Turkey,Turkish Süper Lig,Tier 1
Boluspor,1992-06-30,Turkey,Turkish Second League,Tier 3
Besiktas,2015-06-30,Turkey,Turkish Super League,Tier 1
Kayserispor,2017-04-22,Turkey,Turkish Super League,Tier 2
Adana Demirspor,2021-08-29,Turkey, Süper Lig,Tier 2
Trabzonspor,2003-12-04,Turkey,Süper Lig,Tier 1
Tractor Sazi,2018-04-30,Iran,Persian Gulf Pro League,Tier 2
Denizlispor,2003-04-28,Turkey,Süper Lig,Tier 1
Trabzonspor,2002-06-30,Turkey,Süper Lig,Tier 1
PAOK Salonika,1977-04-05,Greece,Greek Super League,Tier 1
Besiktas,1984-06-30,Turkey,Süper Lig,Tier 1
Genclerbirligi,1996-11-04,Turkey,Süper Lig,Tier 1
Besiktas,1980-09-30,Turkey,Süper Lig,Tier 1
Besiktas,1980-06-16,Turkey,Süper Lig,Tier 1
Kirikkalespor,1987-06-30,Turkey,Turkish First Football League,Tier 2
Turkey U23,1971-06-30,Turkey,TFF Second League,Tier 2
Eskisehirspor,1984-06-30,Turkey,Turkish First Football League,Tier 2
Besiktas,1971-06-30,Turkey,Süper Lig,Tier 2
Beroe,1967-06-30,Bulgaria,A Group,Tier 2
Loko Sofia,1965-06-30,Bulgaria,A PFG,Tier 1
AO Kavala,1977-06-30,Greece,Alpha Ethniki,Tier 1
Aris Saloniki,1962-03-12,Greece,Alpha Ethniki,Tier 1
Turkey,1964-12-31,Turkey,Turkish Football League,Tier 2
Fenerbahce,20/4/2024,Turkey,Turkish Super League,Tier 1
Ankaragücü,2018-12-15,Turkey,Süper Lig,Tier 1
Fenerbahce,2015-05-30,Turkey,Süper Lig,Tier 1
Belenenses,2008-06-30,Portugal,Primeira Liga,Tier 1
Altay SK,2009-08-04,Turkey,TFF First League,Tier 2
Fenerbahce U21,2013-06-30,Turkey,Süper Lig,Tier 1
Antalyaspor,2021-10-04,Turkey,Turkish Süper Lig,Tier 1
FC Utrecht,2011-10-18,Netherlands,Eredivisie,Tier 2
RKC Waalwijk,2005-06-30,Netherlands,Eredivisie,Tier 1
Konyaspor,2017-06-03,Turkey,Super Lig,Tier 1
Eskisehirspor,1977-05-30,Turkey,Turkish Second Football League,Tier 2
PTT,1971-01-09,Thailand,Thai League,Tier 3
Diyarbakirspor,2005-06-30,Turkey,Süper Lig,Tier 2
Erzurumspor,1995-04-20,Turkey,Turkish First Football League,Tier 2
Vasas SC,1994-07-31,Hungary,NB I,Tier 2
Al-Ahli,1981-06-30,Saudi Arabia,Premier League of Saudi Arabia,Tier 1
Ankaragücü,1971-06-30,Turkey,Süper Lig,Tier 2
Sportul S.,1975-06-30,Romania,Liga I,Tier 1
Trabzonspor,2020-07-20,Turkey, Süper Lig,Tier 1
Artvin Hopaspor,2020-08-03,Turkey,TFF Third League,Tier 4
Ankaragücü,2020-06-23,Turkey,TFF First League,Tier 2
Arsinspor,2007-04-27,Turkey,Turkish Second League,Tier 2
Istanbulspor,2000-04-04,Turkey,Turkish Second Football League,Tier 3
Mersin IY,2013-03-08,Turkey,TFF First League,Tier 2
Trabzonspor,1984-06-30,Turkey,Süper Lig,Tier 1
Maltepespor,1995-10-31,Turkey,Süper Lig,Tier 1
Dardanelspor,1999-06-30,Turkey,TFF Second League,Tier 2
Konyaspor,1999-02-24,Turkey,Süper Lig,Tier 2
Eskisehirspor,1995-12-14,Turkey,Süper Lig,Tier 1
Samsunspor,1989-09-26,Turkey,TFF First League,Tier 2
Antalyaspor,1989-06-30,Turkey,Süper Lig,Tier 1
ES Sahel,2018-11-26,Tunisia,Ligue 1 Tunisienne,Tier 2
West Riffa,1985-06-30,Bahrain,Bahraini Premier League,Tier 4
FC Vlaardingen,1979-10-12,Netherlands,Eerste Divisie,Tier 2
Gümüshanespor,2017-07-13,Turkey,TFF Second League,Tier 3
Turgutluspor,2006-09-28,Turkey,Turkish Süper Lig,Tier 1
Y. Turgutluspor,2006-06-30,Turkey,Turkish Second Football League,Tier 3
Kocaelispor,2002-10-10,Turkey,Süper Lig,Tier 1
Alanyaspor,2015-10-02,Turkey,Super Lig,Tier 2
Giresunspor,2022-02-25,Turkey,TFF Third League,Tier 3
Trabzonspor,2014-11-14,Turkey,Turkish Super League,Tier 1
FK Qabala,2011-11-17,Azerbaijan,Azerbaijan Premier League,Tier 2
Giresunspor,2012-02-16,Turkey,Süper Lig,Tier 1
Kücükköyspor,2004-10-20,Turkey,Süper Lig,Tier 1
Bayrampasa,2012-01-27,Turkey,Turkish Super League,Tier 1
Körfez FK,2012-10-19,Turkey,TFF Third League,Tier 4
Bld Derince,2020-08-03,Turkey,Turkish First Football League,Tier 2
Kocaelispor,2011-04-22,Turkey,TFF First League,Tier 2
Diyarbakirspor,2000-06-30,Turkey,Süper Lig,Tier 1
Eskisehirspor,1998-03-18,Turkey,Turkish Super League,Tier 1
Karsiyaka,2008-04-03,Turkey,Turkish Süper Lig,Tier 2
Denizlispor,1996-04-18,Turkey,Süper Lig,Tier 2
Sariyer,2015-06-30,Turkey,TFF Third League,Tier 4
Orduspor,2008-01-17,Turkey,Süper Lig,Tier 1
Agrispor,2000-06-30,Estonia,Meistriliiga,Tier 3
Kocaelispor,1996-10-11,Turkey,Süper Lig,Tier 1
Alibeyköy,2004-06-30,Turkey,Süper Lig,Tier 1
Güngören Bld,2000-06-30,Turkey,TFF First League,Tier 4
Yesilköy,1981-06-30,Turkey,Turkish First Football League,Tier 2
Denizlispor,1987-06-30,Turkey,Turkish First Football League,Tier 2
Kocaelispor,1982-06-30,Turkey,Turkish First Football League,Tier 1
Kocaelispor,1987-04-26,Turkey,Turkish First Football League,Tier 2
Kocaelispor,1986-12-08,Turkey,Turkish First Football League,Tier 1
Galatasaray,1973-06-30,Turkey,Turkish First Football League,Tier 1
KV Turnhout,2001-09-10,Belgium,Third Division,Tier 3
Yakacik,2008-06-30,Turkey,Turkish First Football League,Tier 2
Göztepe,1992-11-28,Turkey,Süper Lig,Tier 1
Ispartaspor,1991-12-03,Turkey,Turkish Super League,Tier 2
Antalyaspor,2001-11-23,Turkey,Süper Lig,Tier 2
Antalyaspor,1994-03-22,Turkey,Süper Lig,Tier 1
Kütahyaspor,1988-06-24,Turkey,Turkish First Football League,Tier 2
Antalyaspor,1991-06-30,Turkey,Süper Lig,Tier 2
Izmirspor,1969-06-30,Turkey,Turkish Football League,Tier 1
Kahramanmaras,2020-08-03,Turkey,TFF First League,Tier 4
Erzurum BB,2012-06-30,Turkey,Turkish Football Cup,Tier 3
Gaziantepspor,2017-10-10,Turkey,Turkish Super League,Tier 2
Eskisehirspor,2011-07-07,Turkey,Turkish Super League,Tier 2
Bodrum FK,2021-10-18,Turkey,Turkish Super Cup,Tier 4
Türkiye U21,2018-01-23,Turkey,TFF U-21 League,Tier 2
Türkiye U20,2013-08-05,Turkey,TFF First League,Tier 2
Türkiye U21,2011-07-31,Turkey,TFF Youth League,Tier 2
Mersin IY,2015-09-22,Turkey,TFF First League,Tier 3
Galatasaray,2005-07-08,Turkey,Süper Lig,Tier 1
C. Rizespor,2008-04-30,Turkey,Süper Lig,Tier 1
Eskisehirspor,1986-06-30,Turkey,Turkish First Football League,Tier 2
Güngören Bld,2002-04-16,Turkey,TFF Third League,Tier 4
Gaziantepspor,1993-10-06,Turkey,Turkish Süper Lig,Tier 1
Sakaryaspor,1981-10-12,Turkey,Turkish First Football League,Tier 2
Karsiyaka,1988-10-18,Turkey,Turkish Süper Lig,Tier 1
EB Eyüpspor,1991-06-30,Turkey,Süper Lig,Tier 2
Kayserispor,1988-09-12,Turkey,Turkish Super League,Tier 1
Z. Kömürspor,2020-11-24,Turkey,TFF Third League,Tier 4
Bugsas Spor,2017-10-20,Turkey,TFF Second League,Tier 4
Hacettepe,2016-03-25,Turkey,TFF First League,Tier 3
Genclerbirligi,2013-10-20,Turkey,Süper Lig,Tier 1
Belgium,1990-02-21,Belgium,European Championship (UEFA),Tier 1
